gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
ENSMUSG00000024030	1.55292	-0.776888	0.190662	-0.47317700000000007	0.9606299999999999	1.20387	-0.10519400000000001	-0.252598	-0.49176400000000003	0.9606299999999999	0.6742319999999999	-0.345723
ENSMUSG00000024041	-0.512333	-1.26725	2.57057	-1.6404599999999998	-1.7818	-2.90178	0.855576	1.10608	0.43521899999999997	-1.7818	-0.8550260000000001	-2.39094
ENSMUSG00000024043	0.51584	0.188892	-0.619028	0.327896	0.734291	1.65398	-0.10648900000000001	-0.9279850000000001	-0.333233	0.734291	0.439169	1.13737
ENSMUSG00000024053	1.1204399999999999	0.75862	0.235494	0.043546100000000004	1.06289	2.9803	0.012731000000000001	-1.9240599999999999	0.970259	1.06289	1.33812	1.8627200000000002
ENSMUSG00000024059	-0.723648	0.128128	0.171062	-0.06686139999999999	-0.839736	-1.7871	-0.0657074	0.935844	0.355515	-0.839736	-0.739031	-1.0617299999999998
ENSMUSG00000024087	1.03722	-0.611032	-0.0489404	0.394253	0.113837	1.08375	-0.342134	-0.98051	-0.328169	0.113837	0.455007	0.0488932
ENSMUSG00000024164	3.12283	1.0101799999999999	-2.53476	3.0824	1.5620100000000001	3.6985699999999997	-0.5245529999999999	-2.14752	-1.0079	1.5620100000000001	2.10597	0.581447
ENSMUSG00000024222	0.385588	-0.242525	0.531083	-0.402138	1.1305100000000001	1.21304	0.5360229999999999	-0.0917015	-0.257646	1.1305100000000001	1.2562	0.835026
ENSMUSG00000024235	1.1781	-0.555565	-0.373242	0.159024	0.749807	2.3260400000000003	-0.152793	-1.58568	-0.786269	0.749807	0.53204	1.15285
ENSMUSG00000024313	-0.43084399999999995	-0.42544499999999996	0.613813	-0.8671190000000001	-0.308259	-1.0047	-0.197771	0.686258	0.37562399999999996	-0.308259	-0.564897	-0.57576
